wavelength,r0_ref,run_number,num_airy,power_in_bucket_before_turbulance,total_power_before_turbulance,precentage_before_turbulance,power_in_bucket_after_turbulance,total_power_after_turbulance,precentage_after_turbulance,conservation_of_energy[%],power_after_AO,time
1.55e-06,0.017,999,5,0.9262265307446073,0.9262265307446073,1.0,0.8232644826147609,0.002378776157471889,0.0028894434385371335,82.32644826147613,0.8667299501146477,2025-11-28 19:06:02
1.55e-06,0.017,999,5,0.9262265307446073,0.9262265307446073,1.0,0.8283955616566758,0.0018481105222316846,0.0022309517430727428,82.83955616566763,0.8921014407381785,2025-11-28 22:38:20
1.55e-06,0.017,999,5,0.9262265307446073,0.9262265307446073,1.0,0.8288189893042437,0.0005550672817958879,0.0006697086926807045,82.88189893042441,0.9243254895479971,2025-11-28 22:46:57
1.55e-06,0.1,1,1,0.6321957424426208,0.6321957424426208,1.0,0.5496137623624722,0.02512926790692162,0.04572168607806582,54.96137623624724,0.6223723487770167,2025-11-28 23:22:02
1.55e-06,0.1,2,1,0.6321957424426208,0.6321957424426208,1.0,0.5370398587463742,0.016462268337636674,0.030653717912232748,53.70398587463744,0.6251680042133038,2025-11-28 23:27:44
1.55e-06,0.1,3,1,0.6321957424426208,0.6321957424426208,1.0,0.5602875595412928,0.034587687114981884,0.061732027645409096,56.02875595412931,0.6247943466777686,2025-11-28 23:54:52
1.55e-06,0.1,4,1,0.6321957424426208,0.6321957424426208,1.0,0.5772896843687109,0.03593096330514767,0.06224078530770838,57.728968436871114,0.615696092263699,2025-11-29 00:14:35
1.55e-06,0.1,5,1,0.6321957424426208,0.6321957424426208,1.0,0.5896327149498984,0.026987151409998057,0.04576942684106525,58.963271494989876,0.6212319552707011,2025-11-29 00:19:05
1.55e-06,0.1,1,2,0.8599551125283651,0.8599551125283651,1.0,0.8362481345244428,0.024349531255550796,0.029117591119528028,83.62481345244433,0.8548202814743372,2025-11-29 00:23:38
1.55e-06,0.1,2,2,0.8599551125283651,0.8599551125283651,1.0,0.817209547019504,0.02582135851824563,0.03159698588008464,81.72095470195045,0.8528618101042894,2025-11-29 00:28:13
1.55e-06,0.1,3,2,0.8599551125283651,0.8599551125283651,1.0,0.8418763349418004,0.021650067403967316,0.0257164461161199,84.18763349418008,0.84593495444888,2025-11-29 00:32:48
1.55e-06,0.1,4,2,0.8599551125283651,0.8599551125283651,1.0,0.8296805124055305,0.022766072291429896,0.02743956493014785,82.9680512405531,0.84888817186997,2025-11-29 00:37:18
1.55e-06,0.1,5,2,0.8599551125283651,0.8599551125283651,1.0,0.8269203489249493,0.019772285069274278,0.023910749197283084,82.69203489249497,0.8547320702287609,2025-11-29 00:41:51
1.55e-06,0.1,1,3,0.8845039380027968,0.8845039380027968,1.0,0.8757758359666747,0.009323585867700641,0.010646087143303442,87.57758359666752,0.8819220119951734,2025-11-29 00:46:25
1.55e-06,0.1,2,3,0.8845039380027968,0.8845039380027968,1.0,0.8751315875310929,0.014777827855662572,0.01688640664583202,87.51315875310934,0.8817468052717294,2025-11-29 00:50:59
1.55e-06,0.1,3,3,0.8845039380027968,0.8845039380027968,1.0,0.8725804758939242,0.02951349360748924,0.03382323398567202,87.25804758939246,0.8809361498518604,2025-11-29 00:55:33
1.55e-06,0.1,4,3,0.8845039380027968,0.8845039380027968,1.0,0.8772385627207477,0.004165840312996911,0.0047488112014553874,87.72385627207481,0.8815776720267051,2025-11-29 01:00:04
1.55e-06,0.1,5,3,0.8845039380027968,0.8845039380027968,1.0,0.874766180450914,0.028676425070622433,0.03278181725754493,87.47661804509144,0.8818969747803472,2025-11-29 01:04:34
1.55e-06,0.1,1,4,0.9056583345957985,0.9056583345957985,1.0,0.9009992848242652,0.03540096251948159,0.03929077760187828,90.09992848242656,0.904191498532839,2025-11-29 01:09:06
1.55e-06,0.1,2,4,0.9056583345957985,0.9056583345957985,1.0,0.9003398200069135,0.03167060371780674,0.03517627790533973,90.0339820006914,0.90346915661118,2025-11-29 01:35:09
1.55e-06,0.1,3,4,0.9056583345957985,0.9056583345957985,1.0,0.9016362879902158,0.025927406495954333,0.02875594831453333,90.16362879902162,0.9032199439106147,2025-11-29 02:34:59
1.55e-06,0.1,4,4,0.9056583345957985,0.9056583345957985,1.0,0.9010765417659563,0.020052091646456043,0.022253483158220237,90.10765417659567,0.9036936565009998,2025-11-29 02:39:32
1.55e-06,0.1,5,4,0.9056583345957985,0.9056583345957985,1.0,0.9013468395621597,0.03919740132039027,0.04348758946049103,90.13468395621601,0.9036967074023103,2025-11-29 02:44:07
1.55e-06,0.1,1,5,0.9262265307446073,0.9262265307446073,1.0,0.9205641815451497,0.02501694289236703,0.027175664004628727,92.05641815451501,0.9248366245269289,2025-11-29 03:19:24
1.55e-06,0.1,2,5,0.9262265307446073,0.9262265307446073,1.0,0.9225042454149355,0.03274996693110213,0.03550115578749607,92.25042454149359,0.9246402493877923,2025-11-29 03:53:23
1.55e-06,0.1,3,5,0.9262265307446073,0.9262265307446073,1.0,0.9209311036270211,0.02189859050465097,0.023778750026364558,92.09311036270215,0.9245716141412577,2025-11-29 04:14:18
1.55e-06,0.1,4,5,0.9262265307446073,0.9262265307446073,1.0,0.9210562110859887,0.03687135953690971,0.040031606207221425,92.10562110859891,0.9245636305996887,2025-11-29 04:47:49
1.55e-06,0.1,5,5,0.9262265307446073,0.9262265307446073,1.0,0.9217132985474316,0.0369445266140303,0.04008244936061224,92.17132985474319,0.9245922163960243,2025-11-29 05:33:11
1.55e-06,0.1,1,1,0.6321957424426208,0.6321957424426208,1.0,0.6044611007297066,0.017735329492251126,0.029340729239385303,60.44611007297069,0.6157480713753879,2025-11-29 06:01:56
1.55e-06,0.1,2,1,0.6321957424426208,0.6321957424426208,1.0,0.5846730930623808,0.01256055294158197,0.0214830357179475,58.46730930623811,0.6272402715324769,2025-11-29 06:30:21
1.55e-06,0.1,3,1,0.6321957424426208,0.6321957424426208,1.0,0.5946105128845819,0.02943976026973688,0.049510998597919756,59.461051288458215,0.6233788357333826,2025-11-29 06:56:48
1.55e-06,0.1,4,1,0.6321957424426208,0.6321957424426208,1.0,0.5946897061454925,0.028991599968501505,0.04875080175241612,59.468970614549285,0.6165469506684289,2025-11-29 07:33:23
1.55e-06,0.1,5,1,0.6321957424426208,0.6321957424426208,1.0,0.5633467032565848,0.023284121245333314,0.04133177865554706,56.33467032565851,0.6235474017023583,2025-11-29 08:00:56
1.55e-06,0.1,1,2,0.8599551125283651,0.8599551125283651,1.0,0.8170674387393735,0.03203385565812964,0.03920588942762623,81.70674387393738,0.851679582343147,2025-11-29 08:19:11
1.55e-06,0.1,2,2,0.8599551125283651,0.8599551125283651,1.0,0.8334997544069758,0.016294254181836165,0.019549200939392376,83.34997544069762,0.8511620220189264,2025-11-29 08:54:39
1.55e-06,0.1,3,2,0.8599551125283651,0.8599551125283651,1.0,0.8446832219001225,0.032299333681012364,0.038238398542301724,84.46832219001229,0.8532061684774291,2025-11-29 09:17:15
1.55e-06,0.1,4,2,0.8599551125283651,0.8599551125283651,1.0,0.8226654396625024,0.03770612906832193,0.04583409883341013,82.26654396625028,0.8534229766667268,2025-11-29 09:53:45
1.55e-06,0.1,5,2,0.8599551125283651,0.8599551125283651,1.0,0.8208953676262025,0.03433284558315891,0.04182365614078174,82.0895367626203,0.8552670515984477,2025-11-29 10:16:47
